"Carimbo de data/hora","Qual sua faixa etária?","Você mora em:","Cidade/Estado onde reside:","Você já possui energia solar instalada?","Você considera instalar energia solar nos próximos anos?","Você possui ou pretende ter um carro elétrico?","Você tem acesso a um carregador atualmente?","Você teria um carregador em casa ou no trabalho?","Onde você mais utilizaria um ponto de recarga?","Você consideraria utilizar um carregador compartilhado em condomínio ou ambiente comercial?","Você utilizaria um aplicativo para monitorar e pagar a recarga do seu veículo?","Quantas vezes por semana você acredita que precisaria recarregar?","Quantos veículos existem na sua residência?","Quanto tempo você acha aceitável para uma recarga completa? (em minutos)","Quanto você estaria disposto a pagar por uma recarga completa? (R$)"
"2026/05/12 7:17:59 PM GMT-3","18–25","Casa","Barueri/SP","Não","Talvez","Pretendo ter","Sim","Com certeza teria","Residência","Talvez","Com certeza utilizaria","2","2","60","50"
"2026/05/12 8:52:35 PM GMT-3","36–50","Casa","Osasco sp ","Não","Talvez","Pretendo ter","Sim","Provavelmente teria","Condomínio","Sim","Provavelmente utilizaria","2","1","30","50"
"2026/05/13 7:26:09 AM GMT-3","36–50","Apartamento","Barueri/SP","Não","Sim, em até 2 anos","Pretendo ter","Sim","Provavelmente não teria","Condomínio","Sim","Com certeza utilizaria","2","1","60","20"
"2026/05/14 9:22:41 PM GMT-3","Até 18","Apartamento","Sao Paulo","Não","Não pretendo","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Talvez utilizaria","2","1","60","20"
"2026/05/14 9:29:53 PM GMT-3","Até 18","Casa","São paulo/SP","Não","Sim, em até 2 anos","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","7","2","60","50"
"2026/05/14 11:01:38 PM GMT-3","Até 18","Casa","São Paulo/SP","Sim","Sim, em até 2 anos","Já possuo","Sim","Com certeza teria","Residência","Sim","Com certeza utilizaria","3","4","60","50"
"2026/05/15 6:59:49 PM GMT-3","26–35","Apartamento","Carapicuíba/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","2","2","60","50"
"2026/05/15 7:04:01 PM GMT-3","36–50","Casa","Santana de Parnaíba/SP","Não","Sim, em até 5 anos","Pretendo ter","Não","Provavelmente teria","Trabalho","Sim","Com certeza utilizaria","2","1","120","20"
"2026/05/15 7:04:43 PM GMT-3","36–50","Casa","Barueri/SP","Não","Sim, em até 2 anos","Pretendo ter","Sim","Provavelmente teria","Residência","Sim","Provavelmente utilizaria","2","2","30","50"
"2026/05/15 7:29:58 PM GMT-3","36–50","Apartamento","Santana de parnaiba , sao paulo","Não","Não pretendo","Talvez no futuro","Sim","Com certeza teria","Residência","Sim","Com certeza utilizaria","3","2","60","30"
"2026/05/15 7:34:24 PM GMT-3","36–50","Casa","Santana de Parnaíba/SP","Não","Não pretendo","Talvez no futuro","Não","Provavelmente não teria","Trabalho","Sim","Com certeza utilizaria","3","1","50","50"
"2026/05/15 7:52:20 PM GMT-3","26–35","Casa","Barueri/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Provavelmente utilizaria","3","2","60","35"
"2026/05/15 8:05:46 PM GMT-3","50+","Casa","Barueri/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente não teria","Mercado","Sim","Talvez utilizaria","3","2","60","50"
"2026/05/15 8:06:13 PM GMT-3","36–50","Casa","Santana de Parnaíba ","Não","Sim, em até 2 anos","Pretendo ter","Não","Com certeza teria","Residência","Talvez","Com certeza utilizaria","4","2","30","50"
"2026/05/15 8:10:09 PM GMT-3","36–50","Apartamento","Barueri/sp","Não","Talvez","Pretendo ter","Não","Talvez teria","Residência","Sim","Com certeza utilizaria","2","1","30","40"
"2026/05/15 9:47:41 PM GMT-3","26–35","Apartamento","Barueri/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Talvez","Com certeza utilizaria","2","2","60","35"
"2026/05/15 9:53:11 PM GMT-3","50+","Apartamento","Barueri SP ","Não","Talvez","Talvez no futuro","Não","Provavelmente não teria","Residência","Talvez","Provavelmente utilizaria","2","1","30","20 "
"2026/05/16 11:13:12 AM GMT-3","18–25","Casa","São Paulo","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","2","2","60","120"
"2026/05/16 11:13:47 AM GMT-3","50+","Apartamento","Barueri/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","2","2","30","50"
"2026/05/16 11:18:14 AM GMT-3","18–25","Casa","São Paulo/ SP","Não","Talvez","Talvez no futuro","Não","Não teria","Shopping","Sim","Provavelmente utilizaria","3","1","60 minutos ","35"
"2026/05/16 11:27:42 AM GMT-3","18–25","Casa","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2","2","120","70"
"2026/05/16 11:39:22 AM GMT-3","26–35","Apartamento","São Paulo - SP","Sim","Não pretendo","Pretendo ter","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2","2","480","30"
"2026/05/16 11:46:50 AM GMT-3","18–25","Casa","São Paulo - SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Não","Com certeza utilizaria","3","1","30","50"
"2026/05/16 11:58:52 AM GMT-3","26–35","Condomínio Residêncial","São Paulo/SP","Não","Não pretendo","Talvez no futuro","Não","Não teria","Shopping","Sim","Com certeza utilizaria","3","0","200","200"
"2026/05/16 12:00:36 PM GMT-3","18–25","Casa","São Paulo/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Talvez teria","Mercado","Sim","Com certeza utilizaria","2","1","30","35"
"2026/05/16 12:24:14 PM GMT-3","26–35","Casa","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Trabalho","Sim","Com certeza utilizaria","3","2","30 minutos","60"
"2026/05/16 12:46:26 PM GMT-3","50+","Apartamento","Barueri","Não","Talvez","Talvez no futuro","Não","Talvez teria","Estações públicas","Talvez","Talvez utilizaria","0","0","60","35"
"2026/05/16 12:58:17 PM GMT-3","18–25","Casa","Carapicuíba/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","3","1","60","150"
"2026/05/16 2:05:57 PM GMT-3","36–50","Apartamento","São Paulo ","Não","Não pretendo","Não tenho interesse","Sim","Não teria","Residência","Não","Não utilizaria","0","0","0","0"
"2026/05/16 2:16:38 PM GMT-3","18–25","Apartamento","São Paulo sp","Não","Talvez","Talvez no futuro","Não","Não teria","Estações públicas","Talvez","Talvez utilizaria","2 a 3","0","120","Ate 50"
"2026/05/16 2:23:13 PM GMT-3","36–50","Casa","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Talvez","Provavelmente utilizaria","2","1","30","30"
"2026/05/16 7:17:00 PM GMT-3","18–25","Casa","Carapicuíba/SP","Não","Não pretendo","Não tenho interesse","Sim","Não teria","Residência","Sim","Com certeza utilizaria","1","2","960","90"
"2026/05/17 10:26:56 AM GMT-3","36–50","Casa","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Estações públicas","Talvez","Provavelmente utilizaria","0","0","60","35"
"2026/05/17 11:33:50 AM GMT-3","26–35","Casa","Barueri/SP","Não","Não pretendo","Pretendo ter","Sim","Com certeza teria","Residência","Sim","Com certeza utilizaria","2","0","30","20"
"2026/05/17 11:38:38 AM GMT-3","18–25","Apartamento","Barueri/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","3","2","60","50"
"2026/05/17 12:01:50 PM GMT-3","36–50","Apartamento","Osasco ","Não","Não pretendo","Pretendo ter","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","3","1","60","20"
"2026/05/17 1:05:21 PM GMT-3","18–25","Casa","Guarulhos/SP","Não","Talvez","Não tenho interesse","Não","Não teria","Residência","Sim","Com certeza utilizaria","2","0","60","35"
"2026/05/17 1:22:05 PM GMT-3","26–35","Casa","Carapicuíba/SP","Sim","Não pretendo","Talvez no futuro","Não","Provavelmente teria","Residência","Talvez","Provavelmente utilizaria","3","2","10","100"
"2026/05/17 7:44:45 PM GMT-3","18–25","Casa","Rio Branco/AC","Não","Sim, em até 2 anos","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Provavelmente utilizaria","1","1","60","30"
"2026/05/18 7:22:25 PM GMT-3","26–35","Apartamento","São José do rio preto/sp","Não","Sim, em até 5 anos","Pretendo ter","Sim","Talvez teria","Shopping","Talvez","Com certeza utilizaria","1","1","30","0"
"2026/05/18 7:26:28 PM GMT-3","50+","Casa","São  João de Iracema  SP","Não","Sim, em até 5 anos","Pretendo ter","Sim","Com certeza teria","Residência","Não","Provavelmente utilizaria","1","1","3029","20"
"2026/05/18 7:34:49 PM GMT-3","50+","Casa","São João de Iracema /SP","Não","Talvez","Talvez no futuro","Não","Talvez teria","Shopping","Sim","Provavelmente utilizaria","1","2","60","50"
"2026/05/18 7:36:38 PM GMT-3","Até 18","Apartamento","São Paulo ","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Trabalho","Sim","Com certeza utilizaria","3","3","90min","70"
"2026/05/18 7:39:43 PM GMT-3","26–35","Casa","General Salgado/SP","Sim","Sim, em até 2 anos","Pretendo ter","Não","Com certeza teria","Residência","Talvez","Com certeza utilizaria","5","1","60","50"
"2026/05/18 7:41:23 PM GMT-3","50+","Casa","São João de Iracema/ SP","Não","Sim, em até 2 anos","Pretendo ter","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","1","2","60","20"
"2026/05/18 8:00:49 PM GMT-3","26–35","Casa","São João de Iracema/SP","Sim","Sim, em até 2 anos","Pretendo ter","Não","Provavelmente não teria","Residência","Talvez","Com certeza utilizaria","3","1","60","50"
"2026/05/18 8:20:50 PM GMT-3","50+","Casa","São João de Iracema ","Não","Não pretendo","Não tenho interesse","Não","Não teria","Estações públicas","Talvez","Não utilizaria","5 x","0","60","0"
"2026/05/18 10:27:41 PM GMT-3","26–35","Casa","São Paulo/Sp","Não","Não pretendo","Talvez no futuro","Sim","Com certeza teria","Estações públicas","Sim","Talvez utilizaria","1","0","30","20"
"2026/05/19 5:51:48 AM GMT-3","Até 18","Casa","Guarulhos/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2","1","60","20"
"2026/05/19 6:36:37 AM GMT-3","26–35","Casa","General Salgado/SP","Sim","Talvez","Pretendo ter","Não","Provavelmente teria","Trabalho","Sim","Provavelmente utilizaria","7","1","400","30"
"2026/05/19 7:16:11 PM GMT-3","18–25","Casa","São Paulo/SP","Não","Não pretendo","Não tenho interesse","Não","Provavelmente não teria","Residência","Talvez","Com certeza utilizaria","4","1","30","40"
"2026/05/19 7:35:46 PM GMT-3","Até 18","Apartamento","Barueri/SP","Não","Não pretendo","Não tenho interesse","Não","Com certeza teria","Condomínio","Talvez","Provavelmente utilizaria","5","2","60","50"
"2026/05/20 6:36:00 AM GMT-3","18–25","Condomínio Residêncial","São Paulo/SP","Não","Sim, em até 5 anos","Talvez no futuro","Sim","Provavelmente teria","Condomínio","Sim","Provavelmente utilizaria","2","2","60","50"
"2026/05/20 12:25:33 PM GMT-3","26–35","Apartamento","Diadema/SP","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Mercado","Sim","Com certeza utilizaria","1","1","60","20"
"2026/05/20 12:26:39 PM GMT-3","36–50","Casa","Sorocaba /SP","Não","Sim, em até 2 anos","Pretendo ter","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2 ","2","60","35"
"2026/05/20 12:27:11 PM GMT-3","18–25","Apartamento","Santo andré/SP","Não","Não pretendo","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","3","1","20","200"
"2026/05/20 12:28:08 PM GMT-3","18–25","Casa","São Paulo/SP","Não","Não pretendo","Talvez no futuro","Não","Provavelmente teria","Shopping","Sim","Com certeza utilizaria","3","3","30","40"
"2026/05/20 12:28:37 PM GMT-3","18–25","Casa","Osasco/SP","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Provavelmente utilizaria","2","0","30","20"
"2026/05/20 12:29:49 PM GMT-3","18–25","Casa","Sorocaba sp","Não","Talvez","Talvez no futuro","Sim","Provavelmente teria","Residência","Talvez","Com certeza utilizaria","1","1","120","50"
"2026/05/20 12:29:51 PM GMT-3","18–25","Apartamento","Santo André/SP","Não","Não pretendo","Talvez no futuro","Sim","Provavelmente teria","Condomínio","Sim","Com certeza utilizaria","1","2","30","70"
"2026/05/20 12:30:25 PM GMT-3","26–35","Casa","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Talvez teria","Residência","Sim","Com certeza utilizaria","3","1","60","40"
"2026/05/20 12:30:33 PM GMT-3","26–35","Apartamento","Santo André/SP","Não","Não pretendo","Talvez no futuro","Sim","Talvez teria","Residência","Sim","Com certeza utilizaria","1","0","60","70"
"2026/05/20 12:33:59 PM GMT-3","50+","Casa","São Paulo ","Não","Sim, em até 5 anos","Talvez no futuro","Não","Com certeza teria","Trabalho","Sim","Provavelmente utilizaria","2","2","3020","20"
"2026/05/20 12:38:17 PM GMT-3","18–25","Casa","Guaruja/SP","Não","Talvez","Talvez no futuro","Não","Talvez teria","Estações públicas","Sim","Com certeza utilizaria","3","1","60","100"
"2026/05/20 12:38:18 PM GMT-3","18–25","Apartamento","Taboão da Serra/SP","Não","Sim, em até 2 anos","Pretendo ter","Sim","Provavelmente teria","Condomínio","Sim","Com certeza utilizaria","2","2","60","60"
"2026/05/20 12:42:49 PM GMT-3","26–35","Apartamento","Mauá / SP","Não","Não pretendo","Não tenho interesse","Não","Talvez teria","Condomínio","Sim","Talvez utilizaria","1","1","60","80"
"2026/05/20 12:51:02 PM GMT-3","26–35","Apartamento","São Paulo/SP","Não","Não pretendo","Talvez no futuro","Sim","Com certeza teria","Residência","Não","Com certeza utilizaria","2","2","60","30"
"2026/05/20 12:56:59 PM GMT-3","26–35","Casa","Osasco/SP","Não","Talvez","Não tenho interesse","Não","Talvez teria","Shopping","Sim","Talvez utilizaria","2","2","60","50"
"2026/05/20 1:29:52 PM GMT-3","18–25","Casa","São Bernardo do Campo/SP","Não","Não pretendo","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Provavelmente utilizaria","2","2","60","40"
"2026/05/20 1:36:45 PM GMT-3","18–25","Apartamento","São Paulo/SP","Não","Talvez","Talvez no futuro","Não","Talvez teria","Residência","Sim","Com certeza utilizaria","3","2","30","50"
"2026/05/20 2:13:48 PM GMT-3","26–35","Apartamento","Poá / SP","Sim","Sim, em até 2 anos","Talvez no futuro","Não","Talvez teria","Residência","Sim","Provavelmente utilizaria","1","1","45","20"
"2026/05/20 4:33:08 PM GMT-3","36–50","Casa","Barueri//SP","Não","Sim, em até 2 anos","Talvez no futuro","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2","1","60","50"
"2026/05/20 4:35:05 PM GMT-3","18–25","Casa","Santo André/SP","Não","Não pretendo","Talvez no futuro","Não","Provavelmente não teria","Trabalho","Sim","Provavelmente utilizaria","1","1","60","30"
"2026/05/20 4:46:03 PM GMT-3","26–35","Casa","Barueri/SP","Não","Não pretendo","Pretendo ter","Não","Não teria","Shopping","Sim","Provavelmente utilizaria","2","1","60","35"
"2026/05/20 5:26:45 PM GMT-3","36–50","Casa","Sorocaba/SP","Não","Sim, em até 5 anos","Pretendo ter","Não","Com certeza teria","Residência","Sim","Talvez utilizaria","3","0","120","20"
"2026/05/20 6:08:38 PM GMT-3","26–35","Casa","Jandira/SP","Não","Não pretendo","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Provavelmente utilizaria","3","1","60","40"
"2026/05/20 6:14:07 PM GMT-3","18–25","Casa","Carapicuíba/SP","Não","Não pretendo","Pretendo ter","Não","Provavelmente não teria","Mercado","Sim","Talvez utilizaria","2","1","60","150"
"2026/05/20 6:30:29 PM GMT-3","18–25","Apartamento","Osasco/SP","Não","Talvez","Pretendo ter","Não","Provavelmente teria","Condomínio","Sim","Com certeza utilizaria","2","1","120","200"
"2026/05/20 7:52:24 PM GMT-3","36–50","Casa","Barueri/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Provavelmente utilizaria","3","3","60","20"
"2026/05/20 8:09:49 PM GMT-3","Até 18","Casa","Barueri/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Condomínio","Sim","Com certeza utilizaria","4 ","0","30","50"
"2026/05/20 8:59:29 PM GMT-3","18–25","Casa","Carapicuiba ","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Residência","Talvez","Com certeza utilizaria","2","2","60","35"
"2026/05/20 9:00:01 PM GMT-3","18–25","Casa","Barueri ","Não","Talvez","Talvez no futuro","Sim","Com certeza teria","Residência","Sim","Não utilizaria","2","3","150","200"
"2026/05/20 9:03:53 PM GMT-3","18–25","Casa","Carapicuíba ","Não","Talvez","Já possuo","Sim","Com certeza teria","Shopping","Sim","Com certeza utilizaria","1 ","8","60","50"
"2026/05/20 9:04:57 PM GMT-3","18–25","Casa","Aruja/sp","Não","Talvez","Talvez no futuro","Não","Com certeza teria","Trabalho","Talvez","Com certeza utilizaria","1","5","60","20"
"2026/05/20 9:05:05 PM GMT-3","18–25","Condomínio Residêncial","Barueri/SP","Não","Não pretendo","Talvez no futuro","Sim","Provavelmente teria","Residência","Sim","Com certeza utilizaria","Acredito que 2 vezes","3 ","45","30-70"
"2026/05/20 9:06:55 PM GMT-3","50+","Apartamento","Osasco/SP","Não","Não pretendo","Talvez no futuro","Não","Com certeza teria","Residência","Talvez","Provavelmente utilizaria","2","1","120 minutos ","100"
"2026/05/20 9:10:38 PM GMT-3","18–25","Apartamento","Carapicuíba/SP","Não","Talvez","Pretendo ter","Sim","Provavelmente teria","Trabalho","Sim","Com certeza utilizaria","2","1","60","50"
"2026/05/20 9:45:57 PM GMT-3","50+","Apartamento","Osasco/SP","Não","Talvez","Pretendo ter","Não","Com certeza teria","Trabalho","Sim","Com certeza utilizaria","1 vez","2","30","50"
"2026/05/20 10:02:13 PM GMT-3","18–25","Apartamento","Sao Paulo / SP","Não","Sim, em até 5 anos","Pretendo ter","Não","Com certeza teria","Condomínio","Sim","Talvez utilizaria","2","1","60","100"
"2026/05/20 10:08:52 PM GMT-3","26–35","Condomínio Residêncial","Campinas/SP","Sim","Sim, em até 2 anos","Pretendo ter","Sim","Com certeza teria","Trabalho","Sim","Com certeza utilizaria","2","2","45","75"
